Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
832792,FR329083,Various paper supplies,224249 USD,2018-06-16
949802,FR453231,IT Support,296524 EUR,2018-06-01
438813,IT213456,Waste management services,297254 CAD,2018-06-06
418277,RO874231,IT Support,128604 CAD,2018-06-14
720886,DE763212,Various paper supplies,88149.6 USD,2018-06-25
456195,FR322345,Waste management services,261096 USD,2018-06-19
593663,FR121212,Beverages and Catering,162583 USD,2018-06-09
380839,FR322345,IT Support,310810 USD,0000-00-00
678380,DE767565,Professional Services,274753 CAD,2018-07-15
151040,FR121212,IT Support,20923.2 CAD,2018-07-08
968702,RO874231,Concierge Services,276355 EUR,2018-07-17
238939,DE767565,Professional Services,102677 RON,2018-07-18
286961,RO212121,Concierge Services,149414 USD,2018-07-22
565635,FR121212,IT Support,78814.8 EUR,2018-07-14
398780,RO212121,Professional Services,139450 CAD,2018-07-01
929866,RO657483,Professional Services,160451 USD,2018-07-19
663363,RO657483,Beverages and Catering,54703.2 EUR,2018-07-04
674599,DE325476,IT Support,110671 EUR,2018-08-28
343744,DE987564,Professional Services,19356 EUR,2018-08-14
785071,DE763212,Various paper supplies,91017.6 RON,2018-08-07
187140,RO254678,Beverages and Catering,252331 RON,2018-08-17
331853,RO212121,Professional Services,204214 EUR,2018-08-01
681617,FR322345,Beverages and Catering,306535 RON,2018-08-12
608351,RO874231,Concierge Services,115616 EUR,2018-08-14
949720,FR121212,Beverages and Catering,287485 CAD,2018-08-03
239581,RO892123,Various paper supplies,116188 RON,2018-08-07
952500,IT213456,Professional Services,175904 EUR,2018-08-06
669235,RO874231,Professional Services,42080.4 EUR,2018-08-18
810728,RO892123,Beverages and Catering,243401 USD,2018-08-12
782778,DE325476,Waste management services,116980 CAD,2018-08-21
609818,FR065748,Professional Services,262601 RON,2018-08-22
705698,FR065748,Various paper supplies,276092 USD,2018-08-26
184755,RO892123,Various paper supplies,127127 RON,2018-09-06
430253,FR322345,Beverages and Catering,142076 RON,2018-09-23
536029,DE325476,Various paper supplies,17618.4 USD,2018-09-15
827342,IT213456,Waste management services,202852 CAD,2018-09-10
918770,RO345879,Waste management services,141379 USD,2018-09-14
207119,DE987564,Beverages and Catering,198636 RON,2018-09-28
313482,RO254678,IT Support,160566 CAD,2018-09-12
228675,RO874231,Waste management services,333028 USD,2018-09-28
290930,FR121212,Concierge Services,345916 RON,2018-09-07
111356,RO212121,Beverages and Catering,242374 CAD,2018-09-07
862066,FR329083,IT Support,78048 RON,2018-09-09
894285,DE767565,IT Support,329621 RON,0000-00-00
466650,FR322345,Concierge Services,47118 USD,2018-10-22
447656,RO345879,IT Support,357163 EUR,2018-10-08
135291,DE325476,Professional Services,54895.2 EUR,2018-10-25
286866,FR065748,Various paper supplies,207904 EUR,2018-10-21
925031,RO874231,Various paper supplies,67368 CAD,2018-10-03
716362,FR065748,Beverages and Catering,78471.6 CAD,2018-10-17
261864,RO254678,Various paper supplies,32731.2 RON,2018-10-11
752369,FR121212,Professional Services,307374 USD,0000-00-00
149514,DE987564,Beverages and Catering,36464.4 USD,2018-10-12
452153,RO874231,IT Support,144168 RON,2018-10-01
619348,FR121212,Professional Services,93870 EUR,2018-10-17
921222,FR065748,Waste management services,333065 USD,2018-11-10
313921,RO874231,Beverages and Catering,116030 CAD,2018-11-01
387606,FR453231,Concierge Services,234070 USD,2018-11-16
281637,DE987564,Beverages and Catering,100530 USD,2018-11-21
398672,FR065748,Waste management services,242402 EUR,2018-11-16
913812,IT213456,Beverages and Catering,96709.2 RON,2018-11-02
851161,RO657483,Concierge Services,340346 RON,2018-11-22
896579,RO657483,Various paper supplies,164852 RON,2018-11-07
890181,FR065748,Concierge Services,222562 USD,2018-11-13
827496,FR322345,Waste management services,187026 USD,2018-11-18
993161,DE767565,Various paper supplies,46087.2 USD,2018-11-19
915848,RO212121,Professional Services,147352 RON,2018-11-02
772137,FR322345,Various paper supplies,71030.4 CAD,2018-11-19
898478,RO892123,Waste management services,341675 RON,2018-11-22
732749,RO254678,IT Support,257508 USD,2018-12-07
904354,RO874231,Waste management services,201067 USD,0000-00-00
492022,RO657483,Beverages and Catering,170460 USD,2018-12-02
990669,DE987564,IT Support,69994.8 RON,2018-12-05
986742,RO874231,Various paper supplies,341116 CAD,2018-12-05
890511,RO345879,Various paper supplies,170896 CAD,2018-12-04
644415,RO345879,IT Support,282535 CAD,2018-12-02
332400,FR065748,Waste management services,96972 USD,2018-12-01
772717,RO125678,IT Support,286774 USD,2018-12-12
768766,RO254678,Various paper supplies,281904 RON,2018-12-22
780552,DE763212,Professional Services,348923 RON,0000-00-00
363816,FR121212,Concierge Services,345270 USD,2018-12-10
444731,FR329083,Beverages and Catering,34060.8 EUR,2018-12-02
526197,FR329083,Various paper supplies,146992 CAD,2018-12-14
193670,DE767565,IT Support,345930 CAD,2018-12-21
111352,DE325476,Concierge Services,334580 USD,2018-12-07
